id,value
flare.other.National Defense,"$615,515"
flare.other.Health Care,"$1,107,446"
flare.other.Income Security,"$546,350"
flare.other.Education and Job Training,"$106,342"
flare.other.Veteran Benefits,"$180,324"
flare.other.International Affairs,"$55,951"
flare.other.Transportation,"$98,742"
flare.other.Natural Resources and Environment,"$44,311"
"flare.other.Science, Space, and Technology Programs","$30,968"
flare.other.Social Security,"$944,338"
flare.other.Immigration and Other Federal Law Enforcement,"$38,645"
flare.other.Response to Natural Disasters,"$15,435"
flare.other.Other Government Programs,"$35,075"
flare.other.Net Interest,"$283,049"
